name,price,score,location,distance_from_center,facilities,cleanliness_rating,comfort_rating,location_rating,facilities_rating,staff_rating,value_for_money,free_wifi,url
City View Hotel Stratford,"EGP 27,039","Scored 4.6
4.6
Review score
760 reviews","Newham, London (West Ham)",9.9 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/kings-head-guest-house.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3824506_402178661_0_2_0&highlighted_blocks=3824506_402178661_0_2_0&matching_block_id=3824506_402178661_0_2_0&sr_pri_blocks=3824506_402178661_0_2_0__40660&from=searchresults
Elmwood Hotel,"EGP 56,234","Scored 6.2
6.2
Review score
2,366 reviews","Camden, London (Kings Cross St. Pancras)",2.4 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/elmwood.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=4855902_0_2_0_0&highlighted_blocks=4855902_0_2_0_0&matching_block_id=4855902_0_2_0_0&sr_pri_blocks=4855902_0_2_0_0__84563&from=searchresults
Residence Inn by Marriott London Kensington,"EGP 74,441","Scored 8.1
8.1
Very Good
3,528 reviews","Kensington and Chelsea, London (Kensington)",5.4 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/residence-inn-kensington.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3845611_88651763_2_1_0&highlighted_blocks=3845611_88651763_2_1_0&matching_block_id=3845611_88651763_2_1_0&sr_pri_blocks=3845611_88651763_2_1_0__111942&from_sustainable_property_sr=1&from=searchresults
Hilton London Olympia,"EGP 70,356","Scored 7.3
7.3
Good
3,796 reviews","Kensington and Chelsea, London (Kensington)",5.6 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/londonolympia.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3489705_244917008_2_42_0&highlighted_blocks=3489705_244917008_2_42_0&matching_block_id=3489705_244917008_2_42_0&sr_pri_blocks=3489705_244917008_2_42_0__105798&from_sustainable_property_sr=1&from=searchresults
Hilton London Kensington Hotel,"EGP 77,538","Scored 7.1
7.1
Good
4,662 reviews","Kensington and Chelsea, London (Kensington)",6 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/hilton-london-kensington.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3653606_244921020_2_42_0&highlighted_blocks=3653606_244921020_2_42_0&matching_block_id=3653606_244921020_2_42_0&sr_pri_blocks=3653606_244921020_2_42_0__116599&from_sustainable_property_sr=1&from=searchresults
Aloft London Excel,"EGP 81,662","Scored 8.5
8.5
Very Good
5,106 reviews","Newham, London (East End)",11.3 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/aloft-london-excel.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=32806004_274564987_0_2_0&highlighted_blocks=32806004_274564987_0_2_0&matching_block_id=32806004_274564987_0_2_0&sr_pri_blocks=32806004_274564987_0_2_0__122800&from_sustainable_property_sr=1&from=searchresults
Antoinette Hotel Wimbledon,"EGP 44,589","Scored 8.4
8.4
Very Good
1,683 reviews","Wimbledon, London (Wimbledon)",10.8 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/wayfairer.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3495405_0_2_0_0&highlighted_blocks=3495405_0_2_0_0&matching_block_id=3495405_0_2_0_0&sr_pri_blocks=3495405_0_2_0_0__67051&from=searchresults
Hilton London Metropole,"EGP 116,575","Scored 7.7
7.7
Good
7,226 reviews","Westminster Borough, London (Paddington)",3.2 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/hilton-london-metropole.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3386424_246030103_2_34_0&highlighted_blocks=3386424_246030103_2_34_0&matching_block_id=3386424_246030103_2_34_0&sr_pri_blocks=3386424_246030103_2_34_0__175301&from_sustainable_property_sr=1&from=searchresults
Harrods Hideaway 3 Bedroom Flat,"EGP 279,433","Scored 9.4
9.4
Wonderful
9 reviews","Kensington and Chelsea, London (South Kensington)",2.7 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/harrods-hideaway-3-bedroom-flat.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=915411201_392226726_7_0_0&highlighted_blocks=915411201_392226726_7_0_0&matching_block_id=915411201_392226726_7_0_0&sr_pri_blocks=915411201_392226726_7_0_0__420200&from=searchresults
Clayton Hotel Chiswick,"EGP 76,408","Scored 8.5
8.5
Very Good
4,879 reviews","Chiswick, London",10.6 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/chiswickmoranhotel.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=136269_335680224_2_2_0&highlighted_blocks=136269_335680224_2_2_0&matching_block_id=136269_335680224_2_2_0&sr_pri_blocks=136269_335680224_2_2_0__114900&from_sustainable_property_sr=1&from=searchresults
